,Team,Season,AVG(Score),AVG(fgm),AVG(fga),AVG(fgm3),AVG(fga3),AVG(ftm),AVG(fta),AVG(dr),AVG(ast),AVG(stl),AVG(blk),AVG(pf)
1,1102,2003,57.25,19.14285714,39.78571429,7.821428571,20.82142857,11.14285714,17.10714286,16.82142857,13,5.964285714,1.785714286,18.75
2,1103,2003,78.77777778,27.14814815,55.85185185,5.444444444,16.07407407,19.03703704,25.85185185,19.92592593,15.22222222,7.259259259,2.333333333,19.85185185
3,1104,2003,69.28571429,24.03571429,57.17857143,6.357142857,19.85714286,14.85714286,20.92857143,23.92857143,12.10714286,6.607142857,3.785714286,18.03571429
4,1105,2003,71.76923077,24.38461538,61.61538462,7.576923077,20.76923077,15.42307692,21.84615385,23.11538462,14.53846154,9.307692308,2.076923077,20.23076923
5,1106,2003,63.60714286,23.42857143,55.28571429,6.107142857,17.64285714,10.64285714,16.46428571,23.85714286,11.67857143,8.357142857,3.142857143,18.17857143
6,1107,2003,65.92857143,24.03571429,57.46428571,7.928571429,22.17857143,9.928571429,13.53571429,20.25,11.92857143,6.857142857,2.035714286,15.89285714
7,1108,2003,69.09090909,24.93939394,58.72727273,5.212121212,16.33333333,14,20.93939394,23.21212121,13.84848485,8.181818182,3.515151515,19.66666667
8,1110,2003,66.36666667,23.16666667,53.53333333,8.766666667,23.13333333,11.26666667,16.53333333,23.13333333,14.23333333,6.4,1.733333333,18.13333333
9,1111,2003,83.26923077,28.61538462,64.5,7.192307692,21.96153846,18.84615385,26.19230769,25.30769231,15.23076923,9.846153846,4.615384615,18.69230769
10,1112,2003,85.21428571,30.32142857,65.71428571,7.035714286,20.07142857,17.53571429,25,27.64285714,17.64285714,8.464285714,4.214285714,17.75
11,1113,2003,75.96551724,27.20689655,56.89655172,4,12.5862069,17.55172414,26.20689655,23.31034483,15.55172414,5.206896552,4.24137931,19.4137931
12,1114,2003,70.03571429,23.85714286,53.21428571,6.785714286,18.28571429,15.53571429,22.42857143,22.85714286,11.5,6.607142857,2.357142857,20.5
13,1115,2003,54.5,19.25,54.28571429,4.75,16.85714286,11.25,17.60714286,21.03571429,10.17857143,7.964285714,2.75,20.25
14,1116,2003,61.64285714,21.82142857,55.57142857,6.071428571,19.57142857,11.92857143,19.57142857,23.42857143,9.821428571,6.464285714,3.535714286,20.92857143
15,1117,2003,71.11538462,23.69230769,54.69230769,7.923076923,21.34615385,15.80769231,21.42307692,20.38461538,11.92307692,7.153846154,1.653846154,21.42307692
16,1119,2003,53.68,19.6,47.6,5.88,16.52,8.6,12.72,21.56,11.72,5.56,1.6,19.32
17,1120,2003,70.1,25.7,54.7,5.633333333,16.33333333,13.06666667,19.73333333,22.56666667,13.4,8.033333333,4.966666667,16.36666667
18,1122,2003,69.7037037,23.55555556,52.07407407,6,17.18518519,16.59259259,24,24.22222222,13.40740741,7.037037037,4.666666667,18.66666667
19,1123,2003,73.3,25.93333333,60.46666667,5.366666667,16.66666667,16.06666667,22.13333333,21.73333333,10.5,5.2,2.2,22.86666667
20,1124,2003,69,23.60714286,58,9.071428571,26.53571429,12.71428571,17.53571429,23.17857143,14.21428571,8.321428571,2.964285714,15.75
21,1125,2003,72.46428571,25.5,54.75,8.178571429,22.25,13.28571429,18.92857143,23.64285714,16.89285714,9.071428571,1.714285714,18.35714286
22,1126,2003,64.7,23.1,55.9,5.7,15.93333333,12.8,18.46666667,20.43333333,10.96666667,8.266666667,1.8,19.43333333
23,1127,2003,66.55555556,24.03703704,57.18518519,7.666666667,21.92592593,10.81481481,16,24.22222222,12.7037037,6.444444444,6.481481481,18.25925926
24,1128,2003,67.84615385,22.03846154,49.76923077,7.692307692,21.65384615,16.07692308,22.23076923,21.46153846,13.38461538,7.884615385,3.961538462,18.07692308
25,1129,2003,65.89285714,23.07142857,56.17857143,5.178571429,17.39285714,14.57142857,20.89285714,21.92857143,11.64285714,6.642857143,3.821428571,19.5
